passage	summary
Romans 5:18-19	so one act of righteousness leads to justification and life for all men
Romans 11:32	for God has consigned all to disobedience, that he may have mercy on all
Romans 12:14-21	bless those who persecute you
Romans 14:11	every knee shall bow
1 Corinthians 7:6-9	I wish that all were as myself am
1 Corinthians 15:20-28	the last enemy to be destroyed is death
1 Corinthians 15:55	where, O Death, is thy sting?
1 Timothy 4:10	savior of all people, especially of those who believe
